C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
28  	LP 472-66                          	HighPM*         	051.1458452973200 +14.8712263862900	051.1458531019935 +14.8712236673345	052.5860028222299 -03.6649675556718	     ~   	12.83    	     ~   	11.395   	     ~   	K5V            	   5	   0
29  	BD+10 439                          	HighPM*         	051.2924366527800 +11.2134761776000	051.2924440902520 +11.2134734447446	051.8049743749698 -07.2420095224536	     ~   	     ~   	     ~   	10.321   	     ~   	K5V            	   6	   0
30  	StKM 1-367                         	**              	051.9087324 +09.9349900            	051.9087397 +09.9349872            	052.0752925 -08.6312052            	     ~   	12.08    	10.75    	9.777    	     ~   	K7.5V          	  14	   0
31  	RX J0331.1+0713                    	RotV*           	052.7849275267100 +07.2235756374400	052.7849345667179 +07.2235727641002	052.2483026825485 -11.4725494134289	     ~   	11.52    	10.58    	10.54    	9.570    	K4Ve           	  18	   0
32  	HD 21601                           	HighPM*         	052.3093512270000 +00.4161850662200	052.3093576271907 +00.4161822374379	050.0107962747936 -17.9446302901435	     ~   	10.06    	9.13     	     ~   	     ~   	K1V            	   4	   0
33  	LP 653-3                           	HighPM*         	053.2207661120300 -03.5086797069600	053.2207721460712 -03.5086826209606	049.8780606269160 -21.9718816297755	     ~   	13.21    	11.645   	11.248   	     ~   	K4V            	   5	   0
34  	HD 21197                           	HighPM*         	051.2488775596862 -05.3637551029292	051.2488834108458 -05.3637578316560	047.2936183285483 -23.2423972765434	10.172   	9.012    	7.841    	7.162    	6.607    	K4V            	 156	   0
35  	BD-08 655                          	Star            	051.9192634119900 -08.4310334988400	051.9192689728437 -08.4310362909283	047.0787034561476 -26.3749650451363	     ~   	11.175   	9.748    	     ~   	     ~   	K5V            	  10	   0
36  	BD-09 965                          	Star            	053.1643283990500 -09.2677821243800	053.1643338892503 -09.2677850331248	048.1522642371566 -27.5141701489466	     ~   	11.67    	10.68    	     ~   	     ~   	K0V            	   2	   0
37  	BD-10 695                          	HighPM*         	053.3209218885800 -09.6968381098800	053.3209273390600 -09.6968410332008	048.1899623635035 -27.9689576900606	     ~   	10.61    	9.77     	     ~   	     ~   	K0V            	   5	   0
38  	* eps Eri                          	BYDraV*         	053.2326853798279 -09.4582609705181	053.2326908523813 -09.4582638856283	048.1677683065404 -27.7157698975157	5.19     	4.61     	3.73     	3.00     	2.54     	K2V            	1806	   1
39  	HD 21531                           	SB*             	051.96835847 -19.80448358          	051.96836289 -19.80448638          	043.24330092 -37.27487867          	10.995   	9.712    	8.367    	7.548    	6.818    	K5V            	 116	   0
40  	StKM 1-381                         	HighPM*         	053.0478054614289 -20.8536410675420	053.0478097871771 -20.8536439654265	044.0563810198325 -38.5840792285410	     ~   	12.56    	11.825   	11.488   	     ~   	K5V            	   4	   0
41  	StKM 2-296                         	HighPM*         	052.8629153292100 -23.8583788163400	052.8629193231229 -23.8583816969677	042.6171139290349 -41.3844894546114	     ~   	13.32    	11.508   	11.031   	     ~   	K7V            	   6	   0
42  	CD-23 1377                         	HighPM*         	051.2765647537496 -23.3548784778283	051.2765687701330 -23.3548812091794	041.0126184867735 -40.4377742386120	     ~   	12.79    	11.248   	10.827   	     ~   	K4V            	   2	   0
43  	Cl Melotte 22 513                  	YSO             	056.2456501069700 +23.3889376099700	056.2456587054874 +23.3889344185409	059.2749623592703 +03.4780202313257	16.692   	15.09    	13.77    	     ~   	     ~   	K7Ve           	  40	   0
44  	BD+20 598                          	**              	054.3957413249300 +21.3431808675400	054.3957497466370 +21.3431778447685	057.1429142073150 +01.8730802223722	     ~   	10.282   	9.362    	     ~   	     ~   	K0V            	  73	   1
45  	BD+16 502                          	HighPM*         	055.9690178251342 +16.6720286917058	055.9690257400881 +16.6720255252902	057.5300168816315 -03.0137266862652	12.614   	11.355   	9.900    	8.995    	8.101    	K6V            	  72	   0
46  	HD 22897                           	HighPM*         	055.1428010594200 -02.2204054789900	055.1428072176118 -02.2204085702607	052.2236303678099 -21.2052034197795	     ~   	10.60    	9.58     	     ~   	     ~   	K3V            	  25	   0
47  	HD 22918                           	RGB*            	055.1976357317558 -02.3326842661733	055.1976418797961 -02.3326873624513	052.2512792331199 -21.3274520605897	     ~   	7.91     	6.95     	     ~   	     ~   	K1V            	  66	   0
48  	BPM 71268                          	HighPM*         	055.9936800618900 -05.2327636439800	055.9936859479502 -05.2327668126285	052.3195814146969 -24.3336607887027	     ~   	13.1     	12.103   	11.796   	     ~   	K4V            	   4	   0
49  	BD-13 718                          	HighPM*         	055.7758294193300 -12.8943386419200	055.7758345902343 -12.8943417908233	049.8848879211098 -31.6914920758240	     ~   	11.96    	10.840   	10.515   	9.34     	K5V            	  26	   0
50  	HD 23356                           	HighPM*         	055.9805951424196 -19.1108981393464	055.9805997059923 -19.1109013068101	048.0580539587978 -37.7275681441654	8.711    	8.012    	7.081    	6.555    	6.098    	K2V            	 126	   0
51  	BPM 48344                          	HighPM*         	054.2908927 -19.8562403            	054.2908972 -19.8562433            	045.8541438 -37.9825932            	     ~   	12.96    	11.364   	10.932   	     ~   	K4V            	   2	   0
52  	HD 22472                           	HighPM*         	053.9968610519900 -23.5181415443400	053.9968651090696 -23.5181445303261	044.0735688023605 -41.3896900022907	     ~   	9.65     	8.81     	     ~   	     ~   	K0V            	  23	   0
53  	V* V1010 Tau                       	YSO             	056.4603450739800 +23.8739525001400	056.4603537193631 +23.8739492893491	059.5745376332880 +03.9076175960667	16.459   	14.92    	13.59    	     ~   	12.09    	K5V            	  43	   0
54  	V* V815 Tau                        	BYDraV*         	056.8063865224200 +23.7142883270000	056.8063951420652 +23.7142850850972	059.8490561801061 +03.6824159656725	     ~   	13.45    	12.41    	     ~   	11.43    	K4V            	  73	   0
55  	2MASS J03450326+2350219            	YSO             	056.2636530271800 +23.8394127490700	056.2636616737004 +23.8394095560156	059.3910374792249 +03.9136606366775	     ~   	12.87    	11.93    	     ~   	10.97    	K2V            	  70	   0
56  	2MASS J03470678+2342546            	YSO             	056.7782494067100 +23.7151497849300	056.7782580271466 +23.7151465455525	059.8240526695115 +03.6888804266428	14.346   	13.20    	12.18    	     ~   	11.25    	K3V            	  61	   0
57  	2MASS J03470141+2329419            	YSO             	056.7559175938900 +23.4949415555400	056.7559261913333 +23.4949383181674	059.7558508101521 +03.4784591983915	13.035   	12.31    	11.47    	     ~   	10.58    	K0V            	  62	   0
