C.D.S.  -  SIMBAD4 rel 1.8  -  2022.07.06CEST07:39:17

splum = 'V' & sptype <= 'K9' & sptype  >= 'K0' &
dec <  24 & dec  > -24
------------------------------------------------------------------------

Number of objects : 2648

 #  	            identifier             	      typ       	     coord1 (ICRS,J2000/2000)      	      coord2 (FK5,J2000/2000)      	      coord4 (Ecl,J2000/2000)      	  Mag U  	  Mag B  	  Mag V  	  Mag R  	  Mag I  	  spec. type   	#bib	#not
----	-----------------------------------	----------------	-----------------------------------	-----------------------------------	-----------------------------------	---------	---------	---------	---------	---------	---------------	----	----
487 	CD-24 561                          	HighPM*         	019.5280023621100 -23.9619220088700	019.5280060322867 -23.9619214742516	007.8474897109921 -29.6118069751807	     ~   	12.96    	11.797   	11.483   	     ~   	K4V            	  10	   0
488 	BPM 47010                          	HighPM*         	018.9152226695200 -21.5144058127500	018.9152266462279 -21.5144052134075	008.4546398116387 -27.1573375025562	     ~   	13.39    	11.654   	11.303   	     ~   	K7V            	   8	   0
489 	CD-23 540                          	**              	022.513145000 -22.509510300        	022.513148844 -22.509510081        	011.411238414 -29.468802106        	     ~   	11.594   	10.398   	10.274   	9.144    	K5V            	  12	   0
490 	HD 9796                            	HighPM*         	023.8373869878500 -21.2010954522200	023.8373909913970 -21.2010953740805	013.3161338549901 -28.7950749790253	     ~   	9.57     	8.75     	     ~   	     ~   	K0V            	  47	   0
491 	BD-21 262                          	HighPM*         	023.9402489006800 -20.7705114788300	023.9402529565737 -20.7705114116020	013.6189384669987 -28.4429784838695	     ~   	11.23    	10.15    	9.908    	8.647    	K5V            	  12	   0
492 	CD-23 610                          	HighPM*         	024.7404938487000 -22.4244040131100	024.7404977014893 -22.4244040307759	013.6062399830333 -30.2564857360094	     ~   	12.007   	10.876   	10.561   	9.705    	K5V            	  16	   0
493 	HD 10611                           	**              	025.8096993628900 -21.6197715595700	025.8097033155573 -21.6197716906543	015.0348366465844 -29.9367683115326	     ~   	9.10     	8.24     	     ~   	     ~   	K0V            	  33	   0
494 	HD 10611B                          	HighPM*         	025.8090890849600 -21.6156381069400	025.8090930381340 -21.6156382379596	015.0362114495645 -29.9327698249581	     ~   	11.27    	10.22    	     ~   	     ~   	K5Ve           	  16	   0
495 	BPM 47374                          	HighPM*         	027.7748493776600 -22.1357165195500	027.7748532700635 -22.1357168589442	016.7170644980086 -31.1586756505633	     ~   	13.5     	11.631   	11.245   	     ~   	K7V            	   4	   0
496 	BD-21 397                          	HighPM*         	033.3006860202383 -21.1964545682722	033.3006900514455 -21.1964554904856	022.6909862636290 -32.3675673874302	12.468   	11.195   	9.831    	9.002    	8.257    	K7V            	  42	   0
497 	BD-19 479                          	HighPM*         	038.6835350699500 -18.7885590488600	038.6835394255712 -18.7885605306144	029.3033219048021 -32.0642334304187	     ~   	12.47    	11.024   	10.632   	     ~   	K6V            	  10	   0
498 	HD 15468                           	HighPM*         	037.2571968141612 -19.9791811189039	037.2572010193676 -19.9791824534638	027.3008392140182 -32.6702404350422	10.991   	9.928    	8.767    	8.066    	7.445    	K4.5Vk         	  55	   0
499 	BD-20 470                          	HighPM*         	037.8783493529700 -20.0282164740900	037.8783535578297 -20.0282178728583	027.9226613554695 -32.9346347160059	     ~   	11.6     	10.199   	10.004   	     ~   	K6Vk:          	  15	   0
500 	BD-19 516                          	HighPM*         	041.1317468016100 -18.8236181636600	041.1317511766165 -18.8236198958726	031.8501107326663 -32.9353027246294	     ~   	12.08    	11.26    	10.691   	     ~   	K4V            	   7	   0
501 	HD 201024                          	HighPM*         	316.8675903810429 -14.6613865646308	316.8675961388917 -14.6613809406523	314.9387153094014 +01.7695482908310	     ~   	10.863   	10.112   	10.099   	     ~   	K0V            	   6	   0
502 	LP 818-68                          	**              	325.2698044201900 -18.7398596729400	325.2698097286334 -18.7398544462562	321.3327716663044 -04.5975413298038	     ~   	11.85    	10.727   	10.479   	     ~   	K4V            	  11	   0
503 	LP 819-5                           	HighPM*         	329.4594587673496 -17.7857007373186	329.4594640132604 -17.7856957512915	325.4149236053497 -05.0360722287287	     ~   	12.76    	11.67    	11.315   	     ~   	K5V            	  12	   0
504 	LP 819-4                           	HighPM*         	329.3581379244100 -18.7271503066700	329.3581431099715 -18.7271453145031	324.9988436288165 -05.8869743478575	     ~   	     ~   	11.919   	11.544   	     ~   	K4V            	   8	   0
505 	HD 210190                          	HighPM*         	332.2447031519900 -17.8945130795300	332.2447083137109 -17.8945082683213	327.8730759086553 -06.0633798095353	     ~   	10.40    	9.64     	     ~   	     ~   	K0V            	  13	   0
506 	HD 211188                          	HighPM*         	333.9355104592500 -18.1447132233300	333.9355155570415 -18.1447085238186	329.2947573447025 -06.8710530318788	     ~   	10.57    	9.66     	     ~   	     ~   	K2V            	  29	   0
507 	HD 212658                          	HighPM*         	336.5563681226300 -19.1884257536700	336.5563730687999 -19.1884212353479	331.2444195462732 -08.7481819695536	     ~   	10.44    	9.31     	     ~   	     ~   	K4.5Vk         	  18	   0
508 	LP 876-76                          	HighPM*         	338.1749152578588 -20.9932872316714	338.1749200104518 -20.9932828299914	331.9934165010438 -10.9894699139970	     ~   	12.07    	11.59    	10.594   	     ~   	K8Vk           	  16	   0
509 	BD-21 6307                         	**              	342.22435543 -20.48383855          	342.22436012 -20.48383446          	335.76341238 -11.96460071          	     ~   	11.36    	10.318   	10.225   	     ~   	K5V            	   7	   0
510 	LP 821-61                          	HighPM*         	341.5003256617387 -19.6971022639167	341.5003304333279 -19.6970981128012	335.4329184521702 -10.9764694527025	     ~   	12.47    	11.118   	10.748   	     ~   	K5V            	  12	   0
511 	G 275-5                            	HighPM*         	346.8447053391300 -21.7756842462400	346.8447097797802 -21.7756805267263	339.3122344531450 -14.8501044954679	     ~   	14.1     	12.427   	12.012   	     ~   	K4V            	   5	   0
512 	HD 218489                          	HighPM*         	347.1445207260999 -20.5211654236500	347.1445252805088 -20.5211617293432	340.0947074715536 -13.8121884154885	     ~   	11.08    	9.91     	9.880    	     ~   	K3V            	   5	   0
513 	G 275-75                           	HighPM*         	354.4897604812000 -21.9913431772900	354.4897647182565 -21.9913401303961	345.9693038388492 -17.9477396183089	     ~   	12.35    	11.598   	11.221   	     ~   	K5V            	  13	   0
514 	HD 222662                          	HighPM*         	355.6825673037941 -19.8825898320800	355.6825717402713 -19.8825868953330	347.9465119178007 -16.4912823267308	     ~   	11.24    	10.17    	     ~   	     ~   	K3V            	  19	   0
515 	BD-21 6469                         	HighPM*         	356.1634372168326 -20.9670499359367	356.1634415292358 -20.9670470439571	347.9044935655650 -17.6649545316493	     ~   	12.24    	11.122   	10.926   	     ~   	K4V            	  12	   0
516 	StKM 2-1772                        	HighPM*         	356.8835098364399 -21.8681102201500	356.8835140374089 -21.8681073955869	348.1490817852328 -18.7637194120791	     ~   	12.56    	11.474   	11.044   	     ~   	K7V            	   3	   0
517 	BD-22 620                          	Star            	357.6842671579000 -21.3127861875200	357.6842714040089 -21.3127834384508	349.1083738717134 -18.5718598155921	     ~   	12.652   	11.980   	11.963   	     ~   	K5V            	   7	   0
518 	HD 223478                          	HighPM*         	357.4888672480999 -21.9038630105500	357.4888714332903 -21.9038602430088	348.6720574786216 -19.0320543106535	     ~   	11.04    	10.20    	     ~   	     ~   	K0V            	   8	   0
519 	HD 812                             	HighPM*         	003.1261286948300 -22.0673225551200	003.1261327624662 -22.0673203325571	353.6441436492008 -21.3951181997892	     ~   	9.46     	8.75     	     ~   	     ~   	K0V+G          	  17	   0
520 	LP 825-712                         	HighPM*         	010.7616321261200 -21.7535474119700	010.7616361319276 -21.7535459608160	000.7342266420480 -24.1431354718470	     ~   	18.0     	     ~   	     ~   	     ~   	K7.1V          	   7	   0
521 	HD 9730                            	Star            	023.7056333261800 -20.3481067046900	023.7056374333072 -20.3481066125745	013.5898298191406 -27.9675591500760	     ~   	10.56    	9.68     	     ~   	     ~   	K1V            	   8	   0
522 	BD-19 391                          	HighPM*         	032.0906644202400 -18.7556700386300	032.0906687351046 -18.7556708337660	022.5822545349121 -29.6765186609591	     ~   	12.04    	11.16    	10.956   	     ~   	K5V            	  10	   0
523 	HD 14001A                          	HighPM*         	033.9422614863100 -18.2381427671200	033.9422658712004 -18.2381437565488	024.6790825370385 -29.8734576010642	     ~   	9.65     	8.49     	     ~   	     ~   	K4V            	  10	   0
524 	HD 14001B                          	HighPM*         	033.9425866658500 -18.2385367957000	033.9425910506965 -18.2385377851629	024.6792389757155 -29.8739395153084	     ~   	10.67    	9.25     	     ~   	     ~   	K4V            	   8	   0
525 	HD 14001                           	**              	033.94226409 -18.23815627          	033.94226847 -18.23815726          	024.67907925 -29.87347103          	9.798    	8.965    	7.940    	7.343    	6.831    	K4V+K4V        	  47	   0
526 	BD-17 508                          	HighPM*         	039.5866471049900 -17.3402249510400	039.5866516330096 -17.3402265255243	030.8577564121082 -31.0250024686367	     ~   	11.91    	10.880   	10.786   	9.856    	K4V            	  13	   0
527 	HD 17252                           	HighPM*         	041.4475705999158 -16.4621821354917	041.4475752422369 -16.4621838997931	033.1610275381956 -30.8309757669640	     ~   	10.45    	9.66     	     ~   	     ~   	K1V            	  20	   0
528 	BD-17 546                          	HighPM*         	042.4194658655600 -16.6207304734800	042.4194704995484 -16.6207323361891	034.1178030304295 -31.3016191173038	     ~   	12.02    	10.79    	10.620   	     ~   	K5V            	  11	   0
529 	HD 200969                          	HighPM*         	316.7707526556300 -14.3827922866400	316.7707584278812 -14.3827866587723	314.9298551975098 +02.0633581759518	     ~   	10.86    	10.02    	     ~   	     ~   	K0V            	   7	   0
530 	HD 200968                          	**              	316.79325436 -13.92292982          	316.79326016 -13.92292419          	315.08426975 +02.49711335          	8.578    	7.995    	7.090    	6.581    	6.101    	K1V            	  85	   0
531 	BPM 81615                          	HighPM*         	321.5036908631200 -15.4184652713500	321.5036964650142 -15.4184598521455	318.9809135973065 -00.3000695246445	     ~   	11.9     	11.4     	10.896   	     ~   	K6V            	   4	   0
532 	HD 211666                          	Star            	334.7192717165200 -17.1380222908200	334.7192768691837 -17.1380176444792	330.3615343270493 -06.2017116981500	     ~   	10.38    	9.47     	     ~   	     ~   	K0V            	   4	   0
533 	BD-17 6500                         	HighPM*         	335.4305998265562 -17.1613619604842	335.4306049597515 -17.1613573631530	330.9902567287446 -06.4701525326212	     ~   	11.877   	10.640   	10.399   	     ~   	K4V            	   7	   0
534 	BPM 82353                          	HighPM*         	339.2082707539300 -18.3237869230400	339.2082757007408 -18.3237825976729	333.9284610338966 -08.8822196945972	     ~   	13.27    	11.666   	11.337   	     ~   	K5V            	   4	   0
535 	BPM 82312                          	HighPM*         	338.3024682731700 -16.0389342334000	338.3024734264043 -16.0389298410628	333.9812471186199 -06.4395633723803	     ~   	12.71    	11.259   	10.966   	     ~   	K4V            	   6	   0
536 	HD 216086                          	Star            	342.5390374377699 -17.1142203963500	342.5390424087847 -17.1142163264061	337.3643335692981 -08.9703885084601	     ~   	10.84    	9.92     	     ~   	     ~   	K1V            	   4	   0
537 	BPM 82442                          	HighPM*         	342.8162484002400 -18.2904033705500	342.8162532626404 -18.2903993224963	337.1521498138297 -10.1575559635592	     ~   	12.189   	11.056   	10.834   	     ~   	K4V            	   6	   0
538 	BD-18 6188                         	Star            	341.6790729468299 -17.9853298189500	341.6790778623345 -17.9853256817066	336.2587589639908 -09.4604633922678	     ~   	11.77    	10.76    	     ~   	     ~   	K0V(e)         	   6	   0
539 	BD-18 6214                         	HighPM*         	343.6444248607500 -17.8113484945500	343.6444297464422 -17.8113445124565	338.0778916855633 -10.0203990726715	     ~   	11.6     	10.30    	10.129   	     ~   	K5V            	  13	   0
540 	HD 221503                          	HighPM*         	353.2058259935404 -16.8456447014044	353.2058307832113 -16.8456415374257	347.0144788737538 -12.7585037662896	11.116   	9.903    	8.607    	7.82     	7.144    	K6V            	 131	   0
541 	HD 221545                          	RotV*           	353.2755463097299 -17.9116349451300	353.2755509921370 -17.9116317874689	346.6324828493573 -13.7597637182763	     ~   	10.45    	9.597    	     ~   	8.723    	K0V            	   9	   0
542 	HD 224618                          	HighPM*         	359.8661748563263 -16.9447026696683	359.8661795350616 -16.9447001289868	352.9688642788399 -15.4567039495748	     ~   	9.69     	8.96     	     ~   	     ~   	K0V            	  70	   0
543 	HD 223664                          	HighPM*         	357.8892471817300 -17.8683930660500	357.8892517920079 -17.8683903363929	350.7903128457228 -15.5196332793121	     ~   	10.27    	9.36     	     ~   	     ~   	K0V            	   7	   0
544 	G 273-153                          	HighPM*         	358.2259861038700 -16.9120382042600	358.2259908088441 -16.9120355065685	351.5017571039203 -14.7805104407364	     ~   	13.5     	12.407   	12.033   	     ~   	K7V            	  10	   0
545 	HD 224690                          	HighPM*         	000.0042732180500 -19.4988359992700	000.0042776217321 -19.4988334719050	351.9864128628768 -17.8347183700581	     ~   	10.28    	9.23     	     ~   	     ~   	K3V            	  18	   0
546 	HD 224713                          	Star            	000.0430419159500 -19.4146326659300	000.0430463281678 -19.4146301423061	352.0582436442098 -17.7734878762088	     ~   	9.89     	8.39     	     ~   	     ~   	K3V            	   3	   0
547 	HD 224703                          	Star            	000.0270570646000 -18.0128349087500	000.0270616278703 -18.0128323835834	352.6544653279676 -16.4926078842153	     ~   	9.98     	8.62     	     ~   	     ~   	K3V            	   3	   0
548 	G 266-125                          	HighPM*         	007.6287996629600 -18.5930996846900	007.6288040680805 -18.5930979131242	359.3055690018472 -20.0344641522461	     ~   	11.78    	11.04    	     ~   	     ~   	K0V            	   4	   0
549 	BD-19 111                          	**              	011.1548132802739 -18.9467576617980	011.1548176117355 -18.9467562511830	002.3897291510832 -21.7576593376168	     ~   	12.21    	10.722   	10.309   	     ~   	K7V            	  48	   0
550 	HD 5248                            	HighPM*         	013.5381936201100 -18.0321576249800	013.5381980390738 -18.0321564614562	005.0132438591406 -21.8730096334194	     ~   	9.75     	8.95     	     ~   	     ~   	K0V            	  18	   0
551 	HD 11683                           	HighPM*         	028.5924602544129 -15.7239815727456	028.5924649084469 -15.7239819987046	020.4317008149792 -25.5871613062521	     ~   	10.06    	9.16     	     ~   	     ~   	K2.5Vk:        	  45	   0
552 	V* FN Cet                          	BYDraV*         	031.2471945495500 -15.6781037685700	031.2471992161866 -15.6781044749110	023.0783972979334 -26.5255076054423	     ~   	8.60     	7.77     	     ~   	     ~   	K0V            	  48	   0
553 	HD 15767                           	HighPM*         	037.9269705225500 -15.2734520843400	037.9269752687194 -15.2734534881275	029.9947757910530 -28.5254709149667	     ~   	9.60     	8.74     	     ~   	     ~   	K2.5Vk:        	  21	   0
554 	HD 17925                           	RSCVnV*         	043.1338674400046 -12.7697133489508	043.1338724951796 -12.7697152836554	036.3547818950421 -27.9064675339671	7.48     	6.91     	6.05     	5.34     	4.89     	K1V            	 486	   0
555 	HD 202889                          	RotV*           	319.7944751621500 -12.7801452092400	319.7944809357735 -12.7801397103372	318.2152526027299 +02.7202545709923	     ~   	10.51    	9.534    	     ~   	8.565    	K1V            	  10	   0
556 	HD 202700                          	Star            	319.4836513286899 -10.8151119731200	319.4836572007319 -10.8151064602478	318.5229130189593 +04.6848581931828	     ~   	10.58    	9.53     	     ~   	     ~   	K1V            	   9	   0
557 	HD 204587                          	HighPM*         	322.5114833560750 -12.5100681017553	322.5114890853317 -12.5100627318074	320.8218036850855 +02.1550395428932	11.59    	10.36    	9.075    	8.28     	7.586    	K7Vk:          	 111	   0
558 	StKM 2-1539                        	**              	323.459160300 -13.478563900        	323.459165957 -13.478558578        	321.389843106 +00.943336934        	     ~   	12.27    	11.11    	10.83    	9.717    	K4V            	   8	   0
559 	LP 758-74                          	HighPM*         	328.2813948181800 -12.8280243584800	328.2814004111889 -12.8280193020328	326.0381040601671 +00.0118309021171	     ~   	12.89    	10.999   	10.617   	     ~   	K7V            	   7	   0
560 	BD-13 6123                         	HighPM*         	332.8008817741599 -12.8617050357100	332.8008872765033 -12.8617002607856	330.1606155204821 -01.5456978656730	13.64    	12.39    	11.07    	10.666   	9.48     	K6V            	   8	   0
561 	BD-14 6241                         	HighPM*         	334.0026434858700 -14.1839821272700	334.0026488712866 -14.1839774322786	330.7823248968421 -03.1972948742027	     ~   	11.47    	10.41    	     ~   	     ~   	K4Ve           	  16	   0
562 	BD-13 6131                         	HighPM*         	333.2659408512600 -12.9947099247300	333.2659463354970 -12.9947051804909	330.5374071640390 -01.8308219562890	     ~   	11.67    	10.75    	     ~   	9.772    	K3Ve           	  11	   0
563 	HD 212864                          	**              	336.896612 -13.060711              	336.896618 -13.060707              	333.815382 -03.169443              	     ~   	10.34    	9.425    	9.67     	     ~   	K0V            	   7	   0
564 	BD-14 6274                         	HighPM*         	336.0383808404000 -13.3500279301100	336.0383862463802 -13.3500233752158	332.9305620928944 -03.1335956291706	     ~   	11.38    	10.183   	10.017   	     ~   	K5V            	   6	   0
565 	BD-16 6129                         	EclBin          	340.1418130059700 -15.7890906566400	340.1418181397626 -15.7890864014249	335.7267372302931 -06.8701766218993	     ~   	11.80    	10.95    	     ~   	10.093   	K2V            	  12	   0
566 	BD-16 6128                         	HighPM*         	340.0731410392800 -15.5756119827200	340.0731461919418 -15.5756077223057	335.7460341171153 -06.6475172265844	     ~   	11.91    	10.75    	10.531   	     ~   	K4V            	   8	   0
567 	HD 215341                          	RotV*           	341.1620912638000 -15.9413382610000	341.1620963636815 -15.9413340837460	336.5842842802281 -07.3823138757047	     ~   	10.75    	9.91     	     ~   	8.670    	K1Ve           	  13	   0
568 	G 156-41                           	HighPM*         	340.7799540920670 -14.5020537742908	340.7799593183182 -14.5020495676806	336.7893006359558 -05.9105709864110	     ~   	12.20    	10.888   	10.572   	     ~   	K5V            	  10	   1
569 	HD 217065                          	Eruptive*       	344.5261047995087 -13.6425438168419	344.5261100312834 -13.6425399058840	340.4975667454742 -06.5037541107649	     ~   	11.29    	10.00    	9.979    	     ~   	K6Vk           	  24	   0
570 	HD 218503                          	BYDraV*         	347.1675128464600 -16.3832881205500	347.1675177880582 -16.3832844281805	341.7921199327921 -10.0220299963359	     ~   	11.42    	10.333   	10.163   	9.100    	K5V            	  14	   0
571 	BPM 82968                          	HighPM*         	354.0184123876100 -14.8110542522200	354.0184173646886 -14.8110511621620	348.5860797058645 -11.2133782751396	     ~   	12.56    	11.439   	11.105   	     ~   	K4V            	   2	   0
572 	G 273-87                           	**              	354.213045300 -14.848015300        	354.213050271 -14.848012228        	348.746415085 -11.323108299        	     ~   	13.56    	12.17    	11.87    	     ~   	K5V            	   4	   0
573 	G 158-12                           	HighPM*         	359.3099236901495 -16.5076016847233	359.3099284222018 -16.5075990905539	352.6526167934733 -14.8389172657868	     ~   	12.06    	10.947   	10.576   	     ~   	K7V            	  27	   0
574 	HD 224374B                         	HighPM*         	359.3470905704799 -16.0916441310100	359.3470953453664 -16.0916415404069	352.8629939163499 -14.4744060662218	     ~   	11.47    	10.76    	     ~   	     ~   	K0V            	  11	   0
575 	StKM 1-2184                        	HighPM*         	359.2053799507700 -15.9856093335100	359.2053847385138 -15.9856067293150	352.7797397659354 -14.3217965562051	     ~   	13.0     	12.035   	11.993   	     ~   	K6V            	   3	   0
576 	BD-15 36                           	Star            	004.0460122230500 -14.5911109665700	004.0460171023569 -14.5911088351192	357.7718096595852 -14.9687614862905	     ~   	10.70    	9.57     	9.69     	     ~   	K4V            	   7	   0
577 	BD-17 63                           	HighPM*         	007.1429411027429 -16.2263437344814	007.1429457761408 -16.2263419136746	359.9030617868692 -17.6899395002220	     ~   	10.77    	9.720    	9.666    	     ~   	K4Vk:          	  54	   1
578 	G 270-111                          	HighPM*         	015.0939004505400 -13.5994205912600	015.0939053612975 -13.5994195901331	008.4065710488832 -18.4458007146200	     ~   	11.1     	9.98     	     ~   	     ~   	K3V            	  25	   0
579 	BD-14 181                          	HighPM*         	014.9033758574700 -13.9789067525500	014.9033807269639 -13.9789057314926	008.0658306375874 -18.7177065473997	     ~   	11.66    	10.59    	     ~   	     ~   	K4V            	  10	   0
580 	HD 6569                            	HighPM*         	016.6089721045100 -14.2964181992200	016.6089769316241 -14.2964173569585	009.5305531496613 -19.6784083091056	     ~   	10.35    	9.52     	     ~   	8.55     	K1V            	  54	   0
581 	HD 7808                            	HighPM*         	019.3917702916087 -15.5033188242633	019.3917749735649 -15.5033182752501	011.6386892088265 -21.8701542394671	     ~   	10.74    	9.803    	9.840    	     ~   	K4V            	  53	   0
582 	BD-13 321                          	HighPM*         	026.9306578634250 -12.7706525294392	026.9306628480145 -12.7706527793820	020.0499474064121 -22.2414112331346	     ~   	10.852   	9.784    	9.751    	     ~   	K4Vk:          	  32	   0
583 	HD 201161                          	HighPM*         	317.0179473235037 -09.1669343693472	317.0179533101372 -09.1669287514391	316.6872673964184 +06.9823335594332	     ~   	10.73    	9.70     	     ~   	     ~   	K3V            	  27	   0
584 	BD-10 5614                         	Star            	317.4022325076999 -10.0001169086900	317.4022384529906 -10.0001113064723	316.8054266574737 +06.0745937867228	     ~   	11.7     	10.7     	     ~   	     ~   	K3V            	   9	   0
585 	1RXS J211208.1-085004              	Star            	318.046646 -08.832861              	318.046652 -08.832856              	317.764659 +07.001117              	     ~   	14.572   	13.818   	     ~   	     ~   	K0V            	   6	   0
586 	LP 757-244                         	HighPM*         	319.5592609734000 -10.4229817514200	319.5592668622416 -10.4229762419310	318.7134788516656 +05.0359055569480	     ~   	     ~   	11.392   	11.311   	     ~   	K5V            	   7	   0
587 	HD 207687                          	HighPM*         	327.7734976433200 -10.0380356448500	327.7735034152975 -10.0380305587004	326.5115568401838 +02.8060800342259	     ~   	8.30     	7.51     	     ~   	     ~   	K0V            	  31	   0
588 	BD-10 5791                         	EclBin          	328.7799763855899 -09.7992503161800	328.7799821565203 -09.7992452892769	327.5264334578903 +02.6949154910613	     ~   	10.91    	10.298   	     ~   	9.534    	K0V            	   7	   0
589 	HD 209518                          	Star            	331.0600476737000 -10.6389972507300	331.0600533558602 -10.6389923637515	329.3449221313498 +01.1337804944582	     ~   	11.01    	10.20    	     ~   	     ~   	K0V            	   3	   0
590 	HD 210423                          	HighPM*         	332.6412507110500 -11.0649604549700	332.6412563392502 -11.0649556695853	330.6498853464063 +00.1902004169293	     ~   	10.51    	9.61     	     ~   	     ~   	K0V            	   5	   0
591 	BD-11 5779                         	HighPM*         	333.2117550 -10.9253747            	333.2117606 -10.9253700            	331.2230539 +00.1223796            	     ~   	11.59    	10.80    	     ~   	     ~   	K2V            	  25	   0
592 	BD-12 6259                         	Low-Mass*       	336.1515944845100 -11.5786912514100	336.1516000191683 -11.5786867044775	333.6788733113050 -01.5239855454354	     ~   	12.20    	10.758   	10.480   	     ~   	K7V            	  15	   0
593 	HD 215098                          	HighPM*         	340.7510567089900 -11.4432790448200	340.7510621824002 -11.4432748359975	337.9192499588928 -03.0665956560852	     ~   	9.95     	8.99     	     ~   	     ~   	K1V            	   5	   0
594 	HD 215279                          	**              	341.036207700 -12.132107500        	341.036213114 -12.132103313        	337.918464698 -03.809832305        	     ~   	10.57    	9.80     	9.92     	     ~   	K0V            	   6	   0
595 	BD-12 6393                         	HighPM*         	344.9735135630200 -11.3816950257000	344.9735189813501 -11.3816911511950	341.7783638131844 -04.5861462491722	     ~   	11.99    	10.577   	10.188   	     ~   	K7V            	  32	   0
596 	LP 761-116                         	HighPM*         	343.9938338811600 -12.9631619621300	343.9938391796021 -12.9631580081156	340.2798740436040 -05.6773084403560	     ~   	12.73    	11.504   	11.128   	     ~   	K5V            	   7	   0
597 	HD 220437                          	HighPM*         	350.9654411518899 -12.0544365885900	350.9654464319563 -12.0544332241449	346.9441897824587 -07.4997639510863	     ~   	11.93    	11.116   	10.891   	     ~   	K5V            	   7	   0
598 	HD 221575                          	HighPM*         	353.3492751667700 -12.6646174486600	353.3492803598742 -12.6646142976849	348.8571012897297 -08.9866223829779	     ~   	9.71     	8.78     	     ~   	     ~   	K2V            	  33	   0
599 	BD-13 6464                         	**              	357.1070637039500 -12.9874596241500	357.1070688211963 -12.9874568206083	352.1302378935112 -10.7562202153369	     ~   	10.797   	9.852    	9.629    	     ~   	K5Vke          	  70	   0
600 	BD-13 6483                         	HighPM*         	358.7478387954500 -12.9598282960800	358.7478438974706 -12.9598256481101	353.6312176769681 -11.3785692470127	     ~   	11.05    	10.003   	10.025   	     ~   	K3V            	  12	   0
601 	HD 3686                            	HighPM*         	009.8781614431000 -13.6220450669100	009.8781663794214 -13.6220435249179	003.5432879000995 -16.4036350734188	     ~   	10.19    	9.26     	     ~   	     ~   	K0V            	   5	   0
602 	HD 3569                            	HighPM*         	009.6384956755500 -12.1724161135900	009.6385007698384 -12.1724145470178	003.9348428105934 -14.9845118395941	     ~   	10.03    	9.18     	     ~   	     ~   	K0V            	  38	   0
603 	BD-13 116                          	HighPM*         	010.3510651841622 -13.1721372313086	010.3510701663391 -13.1721357378960	004.1720982029391 -16.1805559786226	     ~   	12.12    	10.732   	10.379   	     ~   	K5V            	  36	   0
604 	HD 5041                            	**              	013.03249899 -13.23050731          	013.03250395 -13.23050610          	006.63776167 -17.29567137          	     ~   	10.28    	9.66     	9.66     	     ~   	K1V+K3V        	  29	   0
605 	HD 5041A                           	HighPM*         	013.0324836193187 -13.2304909715839	013.0324885802553 -13.2304897554491	006.6377542990863 -17.2956503604139	     ~   	11.03    	10.03    	     ~   	     ~   	K1V            	   2	   0
606 	V* EW Cet                          	BYDraV*         	019.1008128060200 -12.0970009914500	019.1008178703241 -12.0970004117034	012.8166396801589 -18.6356558874087	     ~   	8.32     	7.55     	     ~   	     ~   	K0V            	  72	   0
607 	HD 8293                            	HighPM*         	020.5331473130800 -13.0742930963800	020.5331522661053 -13.0742926680577	013.7659347813012 -20.0872618903281	     ~   	10.52    	9.70     	     ~   	     ~   	K0V            	  10	   0
608 	HD 8389                            	HighPM*         	020.7609946327667 -12.9660678620750	020.7609995974759 -12.9660674578675	014.0286072174545 -20.0758784751466	     ~   	8.74     	7.84     	     ~   	     ~   	K0VCN+2        	  96	   0
609 	BD-12 275                          	HighPM*         	022.6235111822400 -11.3532646156500	022.6235163236125 -11.3532644087722	016.4796120672466 -19.3072504523028	     ~   	11.60    	10.554   	10.285   	     ~   	K4V            	   6	   0
610 	BD-12 327                          	HighPM*         	026.4612830104454 -11.3302522638450	026.4612881543110 -11.3302524640277	020.1852801998997 -20.7348939428683	     ~   	11.25    	10.14    	10.019   	     ~   	K5V            	  28	   0
611 	BD-10 428                          	**              	031.35318485 -09.79195967          	031.35319017 -09.79196039          	025.57651231 -21.09960734          	     ~   	     ~   	     ~   	     ~   	     ~   	K3V            	  10	   0
612 	BD-06 5663                         	HighPM*         	315.9928647540266 -06.1403095441253	315.9928708763404 -06.1403038856008	316.5979916386937 +10.1736607019426	     ~   	11.40    	10.48    	10.31    	     ~   	K5V            	  19	   0
613 	BD-09 5785                         	HighPM*         	324.2793100 -08.9632725            	324.2793159 -08.9632672            	323.6076088 +04.9597083            	     ~   	12.02    	10.826   	10.524   	     ~   	K7V            	   2	   0
614 	HD 206637                          	HighPM*         	325.9257020999000 -08.9765767687200	325.9257079614470 -08.9765715778982	325.1450660123825 +04.4148102902128	     ~   	10.74    	9.93     	     ~   	     ~   	K0V            	  14	   0
615 	BPM 81776                          	HighPM*         	324.2317069532000 -08.6753584840800	324.2317128553982 -08.6753532020388	323.6566251128186 +05.2473255433475	     ~   	12.9     	12.180   	11.801   	     ~   	K4V            	   4	   0
616 	HD 207864                          	HighPM*         	328.0683968653000 -08.9248491203300	328.0684026996425 -08.9248440513779	327.1622320153684 +03.7557143750002	     ~   	10.74    	10.01    	9.56     	9.09     	K0V            	  13	   0
617 	HD 209713                          	HighPM*         	331.3965739931600 -09.8973108285600	331.3965797186462 -09.8973059628945	329.9141251001712 +01.7134003940501	     ~   	9.90     	9.16     	     ~   	     ~   	K0V            	  18	   0
